ID,IDpartita,IDevento,IDgiocatore,Tempo,Secondi,X,Y
4585,15,8,9,2,15.04517399,0,0
4586,15,15,21,2,36.32753425,169,0
4587,15,3,14,2,41.95808197,52.68691589,33.33333333
4588,15,4,-1,2,55.06385291,170,0
4589,15,5,9,2,73.43380081,68.3411215,44.28571429
4590,15,2,-1,2,95.86413736,168,0
4591,15,4,4,2,113.9436051,29.08878505,92.85714286
4592,15,2,-1,2,133.1582244,172,0
4593,15,3,8,2,165.4007271,17.1728972,44.76190476
4594,15,8,8,2,165.4007271,0,0
4595,15,19,8,2,165.4007271,0,0
4596,15,18,1,2,165.4007271,0,0
4597,15,3,9,2,181.0576488,12.96728972,21.42857143
4598,15,13,4,2,204.9792134,0,0
4599,15,0,-1,2,204.9792134,174,0
4600,15,10,14,2,228.5001514,0,0
4601,15,2,9,2,230.8471095,21.84579439,46.19047619
4602,15,8,21,2,249.569801,0,0
4603,15,15,21,2,249.569801,176,0
4604,15,15,21,2,253.4725522,176,0
4605,15,9,1,2,253.4725522,0,0
4607,15,9,21,2,253.4725522,0,0
4608,15,2,-1,2,267.7013979,168,0
4609,15,12,1,2,285.8758364,0,0
4610,15,4,4,2,289.3276738,43.69158879,87.71428571
4611,15,2,-1,2,307.7711963,173,0
4612,15,4,4,2,320.8914154,71.96261682,48.38095238
4613,15,2,-1,2,339.1086277,168,0
4615,15,19,1,2,355.2550545,0,0
4616,15,18,8,2,355.2550545,0,0
4617,15,5,4,2,367.8686678,52.45327103,83.80952381
4618,15,4,-1,2,377.2530925,173,0
4619,15,5,9,2,396.5667318,69.85981308,49.52380952
4620,15,2,-1,2,408.7066682,176,0
4621,15,3,14,2,426.2900215,18.57476636,54.28571429
4622,15,19,21,2,426.2900215,0,0
4623,15,18,2,2,426.2900215,0,0
4624,15,7,14,2,456.4848556,0,0
4625,15,5,14,2,469.6162535,66.70560748,38.66666667
4626,15,2,-1,2,475.6883926,168,0
4627,15,15,8,2,482.6265971,176,0
4628,15,5,2,2,488.2341581,69.85981308,48.19047619
4629,15,13,2,2,493.8195996,0,0
4630,15,2,-1,2,495.3772489,172,0
4631,15,19,14,2,522.8373868,0,0
4632,15,18,34,2,522.8373868,0,0
4633,15,9,2,2,525.7394864,0,0
4634,15,2,-1,2,533.4923188,170,0
4635,15,2,8,2,557.1595563,19.50934579,58.66666667
4636,15,15,8,2,557.1595563,171,0
4637,15,0,8,2,557.1595563,0,0
4638,15,7,34,2,580.0225003,0,0
